Fecha;Activos
2023-09-26 00:00:00.000;3590
2023-09-27 00:00:00.000;3594
2023-09-28 00:00:00.000;3573
2023-09-29 00:00:00.000;3571
2023-09-30 00:00:00.000;3571
2023-10-02 00:00:00.000;3566
2023-10-03 00:00:00.000;3568
2023-10-04 00:00:00.000;3571
2023-10-05 00:00:00.000;3574
2023-10-06 00:00:00.000;3574
2023-10-07 00:00:00.000;3574
2023-10-09 00:00:00.000;3573
2023-10-10 00:00:00.000;3570
2023-10-11 00:00:00.000;3570
2023-10-12 00:00:00.000;3571
2023-10-13 00:00:00.000;3572
2023-10-14 00:00:00.000;3572
2023-10-16 00:00:00.000;3569
2023-10-17 00:00:00.000;3573
2023-10-18 00:00:00.000;3573
2023-10-19 00:00:00.000;3570
2023-10-20 00:00:00.000;3564
2023-10-21 00:00:00.000;3564
2023-10-23 00:00:00.000;3565
2023-10-24 00:00:00.000;3565
2023-10-25 00:00:00.000;3564
2023-10-26 00:00:00.000;3502
2023-10-27 00:00:00.000;3502
2023-10-28 00:00:00.000;3502
2023-10-30 00:00:00.000;3494
2023-10-31 00:00:00.000;3496
2023-11-01 00:00:00.000;3498
2023-11-02 00:00:00.000;3498
2023-11-03 00:00:00.000;3498
2023-11-04 00:00:00.000;3498
2023-11-06 00:00:00.000;3498
2023-11-07 00:00:00.000;3500
2023-11-08 00:00:00.000;3503
2023-11-09 00:00:00.000;3503
2023-11-10 00:00:00.000;3505
2023-11-11 00:00:00.000;3505
2023-11-13 00:00:00.000;3505
2023-11-14 00:00:00.000;3505
2023-11-15 00:00:00.000;3505
2023-11-16 00:00:00.000;3504
2023-11-17 00:00:00.000;3505
2023-11-18 00:00:00.000;3505
2023-11-20 00:00:00.000;3505
2023-11-21 00:00:00.000;3506
2023-11-22 00:00:00.000;3505
2023-11-23 00:00:00.000;3508
2023-11-24 00:00:00.000;3509
2023-11-25 00:00:00.000;3509
2023-11-27 00:00:00.000;3506
2023-11-28 00:00:00.000;3478
2023-11-29 00:00:00.000;3483
2023-11-30 00:00:00.000;3483
2023-12-01 00:00:00.000;3479
2023-12-02 00:00:00.000;3479
2023-12-04 00:00:00.000;3479
2023-12-05 00:00:00.000;3479
2023-12-06 00:00:00.000;3482
2023-12-07 00:00:00.000;3483
2023-12-08 00:00:00.000;3486
2023-12-09 00:00:00.000;3486
2023-12-11 00:00:00.000;3483
2023-12-12 00:00:00.000;3462
2023-12-13 00:00:00.000;3461
2023-12-14 00:00:00.000;3463
2023-12-15 00:00:00.000;3461
2023-12-16 00:00:00.000;3461
2023-12-18 00:00:00.000;3460
2023-12-19 00:00:00.000;3462
2023-12-20 00:00:00.000;3462
2023-12-21 00:00:00.000;3466
2023-12-22 00:00:00.000;3467
2023-12-23 00:00:00.000;3467
2023-12-25 00:00:00.000;3467
2023-12-26 00:00:00.000;3441
2023-12-27 00:00:00.000;3443
2023-12-28 00:00:00.000;3445
2023-12-29 00:00:00.000;3447
2023-12-30 00:00:00.000;3447
2024-01-01 00:00:00.000;3447
2024-01-02 00:00:00.000;3452
2024-01-03 00:00:00.000;3446
2024-01-04 00:00:00.000;3447
2024-01-05 00:00:00.000;3447
2024-01-06 00:00:00.000;3447
2024-01-08 00:00:00.000;3452
2024-01-09 00:00:00.000;3453
2024-01-10 00:00:00.000;3454
2024-01-11 00:00:00.000;3455
2024-01-12 00:00:00.000;3457
2024-01-13 00:00:00.000;3457
2024-01-15 00:00:00.000;3458
2024-01-16 00:00:00.000;3458
2024-01-17 00:00:00.000;3459
2024-01-18 00:00:00.000;3459
2024-01-19 00:00:00.000;3457
2024-01-20 00:00:00.000;3457
2024-01-22 00:00:00.000;3459
2024-01-23 00:00:00.000;3460
2024-01-24 00:00:00.000;3457
2024-01-25 00:00:00.000;3455
2024-01-26 00:00:00.000;3424
2024-01-27 00:00:00.000;3424
2024-01-29 00:00:00.000;3425
2024-01-30 00:00:00.000;3420
2024-01-31 00:00:00.000;3419
2024-02-01 00:00:00.000;3418
2024-02-02 00:00:00.000;3418
2024-02-03 00:00:00.000;3418
2024-02-05 00:00:00.000;3420
2024-02-06 00:00:00.000;3418
2024-02-07 00:00:00.000;3415
2024-02-08 00:00:00.000;3414
2024-02-09 00:00:00.000;3413
2024-02-10 00:00:00.000;3413
2024-02-12 00:00:00.000;3413
2024-02-13 00:00:00.000;3413
2024-02-14 00:00:00.000;3415
2024-02-15 00:00:00.000;3416
2024-02-16 00:00:00.000;3419
2024-02-17 00:00:00.000;3419
2024-02-19 00:00:00.000;3419
2024-02-20 00:00:00.000;3423
2024-02-21 00:00:00.000;3424
2024-02-22 00:00:00.000;3424
2024-02-23 00:00:00.000;3409
2024-02-24 00:00:00.000;3409
2024-02-26 00:00:00.000;3405
2024-02-27 00:00:00.000;3404
2024-02-28 00:00:00.000;3402
2024-02-29 00:00:00.000;3403
2024-03-01 00:00:00.000;3403
2024-03-02 00:00:00.000;3403
2024-03-04 00:00:00.000;3408
2024-03-05 00:00:00.000;3412
2024-03-06 00:00:00.000;3425
2024-03-07 00:00:00.000;3429
2024-03-08 00:00:00.000;3430
2024-03-09 00:00:00.000;3430
2024-03-11 00:00:00.000;3430
2024-03-14 00:00:00.000;3432
2024-03-15 00:00:00.000;3432
2024-03-17 00:00:00.000;3432
2024-03-18 00:00:00.000;3432
2024-03-19 00:00:00.000;3431
2024-03-20 00:00:00.000;3431
2024-03-21 00:00:00.000;3435
2024-03-22 00:00:00.000;3412
2024-03-24 00:00:00.000;3412
2024-03-25 00:00:00.000;3412
2024-03-26 00:00:00.000;3410
2024-03-27 00:00:00.000;3410
2024-03-28 00:00:00.000;3410
2024-03-29 00:00:00.000;3410
2024-03-31 00:00:00.000;3410
2024-04-01 00:00:00.000;3410
2024-04-02 00:00:00.000;3412
2024-04-03 00:00:00.000;3410
2024-04-04 00:00:00.000;3409
2024-04-05 00:00:00.000;3410
2024-04-07 00:00:00.000;3410
2024-04-08 00:00:00.000;3408
